--- V O L T A G E   P R O F I L E  ---- DATE:  6-24-2004 AT 16:54:32 HOURS ----
 SUBSTATION:  IEEE 123;   FEEDER:  IEEE 123                                     
 -------------------------------------------------------------------------------
 NODE  |   MAG       ANGLE  |    MAG       ANGLE  |    MAG       ANGLE |mi.to SR
 89    |  1.0338 at  -3.96  |  1.0270 at -122.68  |  1.0373 at  117.38 |    .999
 90    |                    |  1.0269 at -122.72  |                    |   1.042
 91    |  1.0336 at  -3.96  |  1.0266 at -122.69  |  1.0376 at  117.36 |   1.042
 92    |                    |                     |  1.0375 at  117.31 |   1.099
 93    |  1.0333 at  -3.97  |  1.0265 at -122.71  |  1.0377 at  117.37 |   1.085
 94    |  1.0326 at  -3.98  |                     |                    |   1.137
 95    |  1.0332 at  -3.96  |  1.0261 at -122.73  |  1.0378 at  117.37 |   1.141
 96    |                    |  1.0258 at -122.73  |                    |   1.179
 97    |  1.0345 at  -3.82  |  1.0306 at -122.21  |  1.0338 at  117.60 |    .687
 197   |  1.0345 at  -3.82  |  1.0306 at -122.21  |  1.0338 at  117.59 |    .687
 101   |  1.0337 at  -3.86  |  1.0303 at -122.22  |  1.0332 at  117.59 |    .734
 102   |                    |                     |  1.0318 at  117.56 |    .777
 103   |                    |                     |  1.0301 at  117.53 |    .838
 104   |                    |                     |  1.0283 at  117.49 |    .971
 105   |  1.0323 at  -3.90  |  1.0301 at -122.27  |  1.0335 at  117.61 |    .786
 106   |                    |  1.0290 at -122.29  |                    |    .829
 107   |                    |  1.0275 at -122.32  |                    |    .938
 108   |  1.0309 at  -3.97  |  1.0308 at -122.28  |  1.0334 at  117.65 |    .848
 109   |  1.0267 at  -4.05  |                     |                    |    .933
 110   |  1.0248 at  -4.09  |                     |                    |    .990
 111   |  1.0240 at  -4.10  |                     |                    |   1.099
 112   |  1.0241 at  -4.10  |                     |                    |   1.014
 113   |  1.0220 at  -4.14  |                     |                    |   1.113
 114   |  1.0216 at  -4.15  |                     |                    |   1.175
 300   |  1.0309 at  -3.97  |  1.0308 at -122.28  |  1.0334 at  117.65 |   1.037
 98    |  1.0343 at  -3.83  |  1.0303 at -122.22  |  1.0336 at  117.59 |    .739
 99    |  1.0346 at  -3.82  |  1.0295 at -122.23  |  1.0332 at  117.55 |    .843
 100   |  1.0348 at  -3.82  |  1.0294 at -122.21  |  1.0328 at  117.53 |    .900
 450   |  1.0348 at  -3.82  |  1.0294 at -122.21  |  1.0328 at  117.53 |   1.052
 61    |   .9880 at  -3.51  |  1.0256 at -122.00  |  1.0052 at  117.76 |    .677
 XF1   |   .9880 at  -3.51  |  1.0256 at -122.00  |  1.0052 at  117.76 |    .677
 610   |   .9880 at  -3.51  |  1.0256 at -122.00  |  1.0052 at  117.76 |    .677
 62    |   .9872 at  -3.50  |  1.0245 at -121.98  |  1.0032 at  117.75 |    .620
 63    |   .9866 at  -3.49  |  1.0236 at -121.97  |  1.0022 at  117.74 |    .654
 64    |   .9863 at  -3.47  |  1.0217 at -121.93  |  1.0000 at  117.70 |    .720
 65    |   .9856 at  -3.48  |  1.0214 at -121.89  |   .9970 at  117.70 |    .800
 66    |   .9858 at  -3.51  |  1.0216 at -121.87  |   .9955 at  117.70 |    .862
 18    |   .9988 at  -2.29  |  1.0319 at -121.22  |  1.0122 at  118.83 |    .384
 135   |   .9988 at  -2.29  |  1.0318 at -121.23  |  1.0122 at  118.83 |    .384
 35    |   .9960 at  -2.38  |  1.0293 at -121.31  |  1.0112 at  118.77 |    .455
 36    |   .9951 at  -2.40  |  1.0288 at -121.36  |                    |    .578
 37    |   .9943 at  -2.41  |                     |                    |    .635
 38    |                    |  1.0282 at -121.37  |                    |    .625
 39    |                    |  1.0278 at -121.38  |                    |    .687
 40    |   .9945 at  -2.42  |  1.0282 at -121.36  |  1.0101 at  118.72 |    .502
 41    |                    |                     |  1.0097 at  118.71 |    .564
 42    |   .9929 at  -2.45  |  1.0270 at -121.41  |  1.0092 at  118.68 |    .549
 43    |                    |  1.0257 at -121.43  |                    |    .644
 44    |   .9918 at  -2.48  |  1.0263 at -121.44  |  1.0084 at  118.65 |    .587
 45    |   .9913 at  -2.49  |                     |                    |    .625
 46    |   .9909 at  -2.50  |                     |                    |    .682
 47    |   .9908 at  -2.50  |  1.0253 at -121.47  |  1.0074 at  118.61 |    .635
 48    |   .9905 at  -2.51  |  1.0250 at -121.47  |  1.0072 at  118.60 |    .663
 49    |   .9905 at  -2.51  |  1.0247 at -121.48  |  1.0071 at  118.58 |    .682
 50    |   .9905 at  -2.52  |  1.0247 at -121.47  |  1.0067 at  118.57 |    .729
 51    |   .9903 at  -2.53  |  1.0248 at -121.47  |  1.0067 at  118.58 |    .777
 151   |   .9903 at  -2.53  |  1.0248 at -121.47  |  1.0067 at  118.58 |    .871
 19    |   .9975 at  -2.31  |                     |                    |    .431
 20    |   .9967 at  -2.33  |                     |                    |    .493
 21    |   .9983 at  -2.34  |  1.0320 at -121.22  |  1.0111 at  118.81 |    .441
 22    |                    |  1.0305 at -121.25  |                    |    .540
 23    |   .9979 at  -2.39  |  1.0323 at -121.20  |  1.0100 at  118.79 |    .488
 24    |                    |                     |  1.0085 at  118.77 |    .592
 25    |   .9972 at  -2.45  |  1.0328 at -121.20  |  1.0091 at  118.80 |    .540
 28    |   .9968 at  -2.48  |  1.0330 at -121.19  |  1.0087 at  118.80 |    .578
 29    |   .9967 at  -2.50  |  1.0332 at -121.19  |  1.0083 at  118.79 |    .635
 30    |   .9969 at  -2.50  |  1.0331 at -121.18  |  1.0078 at  118.77 |    .701
 250   |   .9969 at  -2.50  |  1.0331 at -121.18  |  1.0078 at  118.77 |    .739
 RG3   |   .9972 at  -2.45  |                     |  1.0028 at  118.80 |    .540
 26    |   .9970 at  -2.48  |                     |  1.0023 at  118.79 |    .606
 27    |   .9966 at  -2.49  |                     |  1.0022 at  118.79 |    .659
 33    |   .9953 at  -2.52  |                     |                    |    .753
 31    |                    |                     |  1.0017 at  118.77 |    .649
 32    |                    |                     |  1.0013 at  118.77 |    .706
 34    |                    |                     |  1.0187 at  118.88 |    .256
 15    |                    |                     |  1.0183 at  118.87 |    .275
 16    |                    |                     |  1.0173 at  118.85 |    .346
 17    |                    |                     |  1.0178 at  118.86 |    .341
 9     |  1.0144 at  -1.47  |                     |                    |    .213
 RG2   |  1.0080 at  -1.47  |                     |                    |    .213
 14    |  1.0063 at  -1.50  |                     |                    |    .294
 10    |  1.0060 at  -1.50  |                     |                    |    .341
 11    |  1.0057 at  -1.51  |                     |                    |    .341
